raw,attention,meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
64,24,54,176172,42413,13099,5990,2409,3341,692,11032
80,30,54,26340,48802,51731,2795,3841,6166,3763,28273
51,26,88,259916,68244,33111,56618,5147,5085,2855,27293
-9,34,75,1448725,131651,5516,13432,8890,10399,3145,27229
69,29,81,375009,120518,88724,20936,12096,8248,4747,33587
-81,14,67,422277,230834,27003,38650,13451,4709,2872,25772
151,26,61,1207248,126862,45366,36587,19786,20464,4962,41999
5,34,67,234691,24540,5267,2418,4266,3747,1649,5730
12,34,64,329709,114214,68076,16216,14833,7811,26274,23339
4,48,66,1365182,171628,50790,18927,34581,14501,30778,38692
29,30,67,258132,160935,81021,27012,40107,6155,7097,17613
-29,40,64,49408,129509,32557,8730,41448,36813,12532,33262
23,53,61,538376,122327,24318,48884,25848,29487,21731,21100
117,51,56,287385,141037,13724,15814,7766,8527,1907,22417
104,70,47,420730,53052,5741,10867,18483,10264,2757,71047
-24,61,51,257465,13193,1853,4189,4367,1689,951,14733
21,60,50,109609,51037,16920,10667,11771,10567,12030,93471
-298,69,60,18429,45420,13708,20351,10892,9372,4361,77093
21,64,67,1670327,131437,12701,77539,43783,19037,2140,18912
96,67,57,846602,65714,3707,6172,11449,9577,3190,16038
58,64,60,1206044,96951,32799,20158,2526,15412,2310,88302
91,57,57,237412,85628,7867,42070,14126,9789,1492,96267
-241,51,67,379705,53418,32939,52241,4814,6680,7032,73061
252,44,75,321487,138901,19868,14354,17171,11082,10536,113526
53,30,69,889242,88756,12328,17058,14842,3820,5061,17312
41,38,57,221680,235251,35584,7926,15269,34971,12601,126296
13,48,53,569305,26171,14320,24549,18367,8086,5942,75470
49,56,70,547607,54435,114714,11399,21575,25296,7053,61964
-65,74,67,1573571,86384,12058,13923,24211,15414,10049,87106
147,81,67,363653,86697,8665,8304,14943,27320,8241,70545
40,93,57,523046,41448,24194,1780,15333,28399,12866,88690
144,96,54,219131,25506,36759,10494,10724,13336,2242,57224
117,93,60,37831,39203,12600,12049,27664,7261,2322,92432
-34,75,80,159837,11566,6905,8369,3439,1196,1998,24808
214,53,77,232432,223403,6618,51995,20319,13705,6442,84050
123,50,63,330310,121788,32214,6272,15472,23686,14711,77853
81,48,54,156199,60149,6073,5963,8501,6323,3588,26063
171,54,44,59320,62798,14879,8089,9859,6735,2754,89573
-70,51,53,117794,22360,7636,7284,3503,1421,1210,24733
-90,56,51,427699,49128,13054,14067,63260,17106,6843,105747
59,57,64,409442,35160,14071,14056,5796,7417,1601,21860
49,54,60,217438,152310,12009,19238,9815,11088,1733,99514
66,66,57,1253411,95257,53546,11728,28441,17474,6481,122059
-131,54,60,260634,151852,11580,31440,13148,14405,7934,95686
8,50,63,745315,43397,29225,12055,4357,5224,4506,100491
44,53,74,86428,58413,26430,12648,11389,7648,5483,92598
74,41,57,163052,230550,24775,4506,24418,10570,2296,116453
-65,41,61,350970,107196,5677,37164,23446,12231,10130,95142
-279,38,43,631286,228094,25676,14428,5948,12753,4296,66285
19,37,47,744380,86472,42778,48907,22778,12999,13595,85175
-14,40,61,124313,52052,22884,6666,5284,4996,2281,22283
-45,51,63,728762,61733,16036,12890,16061,18833,9952,114220
26,44,70,268271,309432,73992,40276,12354,11145,11801,68493
91,48,74,483371,60737,54669,23010,9156,14785,15244,130622
91,64,81,242564,10630,17239,3204,3091,8531,2398,15297
-5,53,80,1038791,229299,53336,24597,17000,21960,21518,72147
-163,57,64,382422,253886,15812,10051,31027,11770,3989,82610
-188,53,63,590434,68063,47076,10562,13255,7697,9665,76086
130,37,51,459898,274066,62268,46830,26712,24296,7810,113895
97,37,54,548248,141885,42375,36678,48158,13287,7145,57826
-10,44,66,65515,54642,24750,11014,5319,12639,5418,86611
65,54,67,57829,56136,13900,18685,9034,14226,6470,90035
81,54,67,57829,56136,13900,18685,9034,14226,6470,90035
38,57,57,349336,218957,1546,41369,22917,20562,9803,85249
-10,61,57,167267,26383,13267,10243,7740,9473,2625,21397
19,61,50,84844,129438,20544,9874,20273,24302,2970,118790
